INSP;BUJ;ENF;M.OLTC;PRO-M;CUB;GAB;FUG.ACEI;COMP.ELEC;COMP.MEC;RES.CALEF;perfil_catalogo;id_unique
;;;;;;;;;;;1-TRAAMO;MjAwNjY4NjIzMDA1MjAyMQ==
2;;;;2-PRO-M;3-CUB;;;;;;1-TRAATR;MjAwMDgyMjI4MDUyMDIx
;;;;;;;;;;;1-TRAAMO;MjAzOTI2MjI4MDUyMDIx
;;;;;;;;;;;1-TRAAMO;MjAzOTMwMjI4MDUyMDIx
2;;3-ENF;;;2-CUB;;;;;;1-TRAATR;ODEwNTUxMjI4MDUyMDIx
2;8-BUJ;;;2-PRO-M;;9-GAB;;;;;1-REAAMO;MTExOTg4MjI3MDUyMDIx
2;8-BUJ;9-ENF;;2-PRO-M;;9-GAB;;;;;1-REAAMO;MjAwMDIzNjIyNzA1MjAyMQ==
2;8-BUJ;9-ENF;;2-PRO-M;;8-GAB;;;;;1-REAAMO;MjAxMTY3NzIyNzA1MjAyMQ==
2;8-BUJ;9-ENF;;2-PRO-M;3-CUB;8-GAB;;;;;1-REAAMO;MjAxMTY4MTIyNzA1MjAyMQ==
2;8-BUJ;3-ENF;;;2-CUB;9-GAB;;;;;1-REAAMO;MTExMDczMjI3MDUyMDIx
2;8-BUJ;;;2-PRO-M;3-CUB;9-GAB;;;;;1-REAAMO;MTExOTg5MjI3MDUyMDIx
2;8-BUJ;;;;2-CUB;9-GAB;;;;;1-REAAMO;MTE2Njg4MjI3MDUyMDIx
2;8-BUJ;2-ENF;;;;9-GAB;;;;;1-REAAMO;MTMzMDM3MjI3MDUyMDIx
2;8-BUJ;;;2-PRO-M;3-CUB;9-GAB;;;;;1-REAAMO;MTE4NDI1MjI3MDUyMDIx
2;8-BUJ;8-ENF;;2-PRO-M;8-CUB;8-GAB;;;;;1-REAAMO;MTA5MzU4MjI3MDUyMDIx
2;8-BUJ;;;2-PRO-M;8-CUB;9-GAB;;;;;1-REAATR;MTIwODY2MjI3MDUyMDIx
2;;2-ENF;;;;;;;;;1-TRAAMO;MTE5MDM5MjI2MDUyMDIx
;;;;;;;;;;;1-TRAATR;ODA3ODMzMjI2MDUyMDIx
2;2-BUJ;9-ENF;2-M.OLTC;;2-CUB;;;;;;1-TRAAMO;ODEwNDUwMjI2MDUyMDIx
2;2-BUJ;9-ENF;;;3-CUB;;;;;;1-TRAAMO;ODEwNDUxMjI2MDUyMDIx
2;8-BUJ;;;2-PRO-M;;8-GAB;;;;;1-REAAMO;MjAxMDI0MDIyNTA1MjAyMQ==
2;8-BUJ;2-ENF;;;;9-GAB;;;;;1-REAAMO;MTExNTY2MjI1MDUyMDIx
2;2-BUJ;;2-M.OLTC;;3-CUB;;;;;;1-TRAATR;ODA5MzY1MTIzMDUyMDIx
2;;;2-M.OLTC;;3-CUB;;;;;;1-TRAATR;ODA5MzcyMjIzMDUyMDIx
;;;;;;;;;;;1-TRAATR;ODA4Nzc5MjIxMDUyMDIx
2;2-BUJ;;2-M.OLTC;;3-CUB;;;;;;1-TRAATR;MjAwNjAxNDIyMTA1MjAyMQ==
2;9-BUJ;9-ENF;;2-PRO-M;9-CUB;;;;;;1-TRAAMO;MjAxMDIyNTIxMDA1MjAyMQ==
2;;;2-M.OLTC;;3-CUB;;;;;;1-TRAATR;ODEwMDU3MjA3MDUyMDIx
3;;3-ENF;;3-PRO-M;3-CUB;;;;;;1-TRAATR;MjAwNzg2MjA3MDUyMDIx
2;;9-ENF;;2-PRO-M;3-CUB;;;;;;1-TRAATR;ODA5NTgyMjA3MDUyMDIx
2;;2-ENF;;;;;;;;;1-TRAATR;MjAwMDQwNzIwNTA1MjAyMQ==
5;;;;;8-CUB;;;;;;1-TRAAMO;ODExMDA4MjAzMDUyMDIx
2;;3-ENF;;;2-CUB;;;;;;1-TRAATR;ODA5ODczMjAxMDUyMDIx
2;;;;2-PRO-M;;;;;;;1-TRAATR;MjAwNTk3MjMwMDQyMDIx
;;;;;;;;;;;1-TRAATR;MjAyNDk0MjI4MDQyMDIx
2;;;;2-PRO-M;3-CUB;;;;;;1-TRAAMO;MjAxNDQ3MjI4MDQyMDIx
2;;2-ENF;;;;;;;;;1-TRAAMO;MjAwNTY3MDIyODA0MjAyMQ==
2;;;;2-PRO-M;2-CUB;;;;;;1-TRAAMO;MjAxNDQ1MjI4MDQyMDIx
2;;;2-M.OLTC;;3-CUB;;;;;;1-TRAAMO;MjAyMjc5MTI1MDQyMDIx
2;;;;2-PRO-M;;;;;;;1-TRAAMO;MTExMTA0MjE5MDQyMDIx
2;;;;2-PRO-M;;;;;;;1-TRAAMO;MTE1MDkxMjE5MDQyMDIx
;;;;;;;;;;;1-TRAAMO;MTE2MTQzMTE5MDQyMDIx
5;;;;;8-CUB;;;;;;1-TRAAMO;MTE2MTQ0MTE5MDQyMDIx
;;;;;;;;;;;1-TRAAMO;MTE4NDg3MTE5MDQyMDIx
;;;;;;;;;;;1-TRAAMO;MTExNDMzMjE5MDQyMDIx
3;;3-ENF;;;3-CUB;;;;;;1-TRAAMO;MTM2NTg5MjE5MDQyMDIx
3;;;3-M.OLTC;;;;;;;;1-TRAAMO;MTM2NTg4MjE5MDQyMDIx
5;;;;;8-CUB;;;;;;1-TRAATR;ODA5ODcyMjA4MDQyMDIx
2;8-BUJ;;;2-PRO-M;;9-GAB;;;;;1-REAAMO;MTIzMTgxMjI2MDMyMDIx
2;8-BUJ;;;2-PRO-M;;9-GAB;;;;;1-REAAMO;MTIzMTc4MjI2MDMyMDIx
2;;;;2-PRO-M;;;;;;;1-TRAATR;MjAwNTQ4MjEyMDMyMDIx
2;8-BUJ;9-ENF;;2-PRO-M;2-CUB;9-GAB;;;;;1-REAAMO;MTE3Mjc0MjA0MDMyMDIx
2;8-BUJ;;;2-PRO-M;2-CUB;9-GAB;;;;;1-REAAMO;MTE4NDIzMjE4MDIyMDIx
