OIL.CORR;perfil_catalogo;id_unique
;1-TRAAMO;MjAwNjY4NjIzMDA1MjAyMQ==
;1-TRAATR;MjAwMDgyMjI4MDUyMDIx
;1-TRAAMO;MjAzOTI2MjI4MDUyMDIx
;1-TRAAMO;MjAzOTMwMjI4MDUyMDIx
;1-TRAATR;ODEwNTUxMjI4MDUyMDIx
;1-REAAMO;MTExOTg4MjI3MDUyMDIx
;1-REAAMO;MjAwMDIzNjIyNzA1MjAyMQ==
9;1-REAAMO;MjAxMTY3NzIyNzA1MjAyMQ==
9;1-REAAMO;MjAxMTY4MTIyNzA1MjAyMQ==
;1-REAAMO;MTExMDczMjI3MDUyMDIx
;1-REAAMO;MTExOTg5MjI3MDUyMDIx
;1-REAAMO;MTE2Njg4MjI3MDUyMDIx
;1-REAAMO;MTMzMDM3MjI3MDUyMDIx
;1-REAAMO;MTE4NDI1MjI3MDUyMDIx
9;1-REAAMO;MTA5MzU4MjI3MDUyMDIx
;1-REAATR;MTIwODY2MjI3MDUyMDIx
;1-TRAAMO;MTE5MDM5MjI2MDUyMDIx
;1-TRAATR;ODA3ODMzMjI2MDUyMDIx
;1-TRAAMO;ODEwNDUwMjI2MDUyMDIx
;1-TRAAMO;ODEwNDUxMjI2MDUyMDIx
9;1-REAAMO;MjAxMDI0MDIyNTA1MjAyMQ==
;1-REAAMO;MTExNTY2MjI1MDUyMDIx
;1-TRAATR;ODA5MzY1MTIzMDUyMDIx
;1-TRAATR;ODA5MzcyMjIzMDUyMDIx
;1-TRAATR;ODA4Nzc5MjIxMDUyMDIx
;1-TRAATR;MjAwNjAxNDIyMTA1MjAyMQ==
;1-TRAAMO;MjAxMDIyNTIxMDA1MjAyMQ==
;1-TRAATR;ODEwMDU3MjA3MDUyMDIx
;1-TRAATR;MjAwNzg2MjA3MDUyMDIx
;1-TRAATR;ODA5NTgyMjA3MDUyMDIx
;1-TRAATR;MjAwMDQwNzIwNTA1MjAyMQ==
;1-TRAAMO;ODExMDA4MjAzMDUyMDIx
;1-TRAATR;ODA5ODczMjAxMDUyMDIx
;1-TRAATR;MjAwNTk3MjMwMDQyMDIx
;1-TRAATR;MjAyNDk0MjI4MDQyMDIx
;1-TRAAMO;MjAxNDQ3MjI4MDQyMDIx
;1-TRAAMO;MjAwNTY3MDIyODA0MjAyMQ==
;1-TRAAMO;MjAxNDQ1MjI4MDQyMDIx
;1-TRAAMO;MjAyMjc5MTI1MDQyMDIx
;1-TRAAMO;MTExMTA0MjE5MDQyMDIx
;1-TRAAMO;MTE1MDkxMjE5MDQyMDIx
;1-TRAAMO;MTE2MTQzMTE5MDQyMDIx
;1-TRAAMO;MTE2MTQ0MTE5MDQyMDIx
;1-TRAAMO;MTE4NDg3MTE5MDQyMDIx
;1-TRAAMO;MTExNDMzMjE5MDQyMDIx
;1-TRAAMO;MTM2NTg5MjE5MDQyMDIx
;1-TRAAMO;MTM2NTg4MjE5MDQyMDIx
;1-TRAATR;ODA5ODcyMjA4MDQyMDIx
;1-REAAMO;MTIzMTgxMjI2MDMyMDIx
;1-REAAMO;MTIzMTc4MjI2MDMyMDIx
;1-TRAATR;MjAwNTQ4MjEyMDMyMDIx
;1-REAAMO;MTE3Mjc0MjA0MDMyMDIx
;1-REAAMO;MTE4NDIzMjE4MDIyMDIx
;1-REAAMO;MTE4NDI0MjE4MDIyMDIx
;1-TRAATR;ODA4OTk3MTA5MDIyMDIx
;1-TRAATR;NDAwMDM5MjA5MDIyMDIx
9;1-REAAMO;MjAwOTYyNTIwODAyMjAyMQ==
;1-TRAAMO;MjAxMTY5MjIwMTIyMDIw
9;1-REAAMO;MjAwOTYyODIxOTEyMjAyMA==
9;1-REAAMO;MjAwOTYyNjIxOTEyMjAyMA==
;1-TRAAMO;ODEwNDQ5MjMwMTAyMDIw
;1-REAAMO;MTE3MjcyMjMwMTAyMDIw
;1-REAAMO;MTE3MjczMjMwMTAyMDIw
9;1-REAAMO;MjAwNTMxMDIyMDEwMjAyMA==
;1-TRAAMO;MjAwNjQ3MjEzMTEyMDE0
