Equipo;Posición medida;Valor medido;Fecha;Texto;Texto Ampliado
133276;EQUIPO TOTAL;5,00;30/05/2021;;
132717;EQUIPO TOTAL;5,00;30/05/2021;;
132718;EQUIPO TOTAL;5,00;30/05/2021;;
132719;EQUIPO TOTAL;5,00;30/05/2021;;
133273;EQUIPO TOTAL;3,00;30/05/2021;3-INSPECCIONES OPERATIVAS: /3-INSP= 3-PR;3-INSPECCIONES OPERATIVAS: /3-INSP= 3-PRO-M/
133274;EQUIPO TOTAL;5,00;30/05/2021;;
133275;EQUIPO TOTAL;5,00;30/05/2021;;
201437;EQUIPO TOTAL;3,00;30/05/2021;3-DGA:FALLA TÉRMICA PAPEL. 3-INSPECCIONE;3-DGA:FALLA TÉRMICA PAPEL. 3-INSPECCIONES OPERATIVAS: MANDO Y FILTRO OLTC. 3-DGA= T-PAP(S)/ /3-INSP= 3-M.OLTC/
201439;EQUIPO TOTAL;3,00;30/05/2021;3-INSPECCIONES OPERATIVAS: MANDO Y FILTR;3-INSPECCIONES OPERATIVAS: MANDO Y FILTRO OLTC. /3-INSP= 3-M.OLTC/
2006683;EQUIPO TOTAL;5,00;30/05/2021;;
2006684;EQUIPO TOTAL;5,00;30/05/2021;;
2006685;EQUIPO TOTAL;5,00;30/05/2021;;
2006686;EQUIPO TOTAL;2,00;30/05/2021;2-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA;2-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA DE HUMEDAD. /2-OIL.TAP=DIAG
201440;EQUIPO TOTAL;3,00;30/05/2021;3-DGA:FALLA TÉRMICA PAPEL. ARCO ELÉCTRIC;3-DGA:FALLA TÉRMICA PAPEL. ARCO ELÉCTRICO. 3-DGA= T-PAP(S)/ ARC(D)/
112137;REACTOR TOTAL;5,00;30/05/2021;/5-INSP= 9-GAB/8-BUJ/;
132692;REACTOR TOTAL;5,00;30/05/2021;/5-INSP= 9-GAB/8-BUJ/;
132693;REACTOR TOTAL;5,00;30/05/2021;/5-INSP= 9-GAB/8-BUJ/;
132694;REACTOR TOTAL;5,00;30/05/2021;/5-INSP= 9-GAB/8-BUJ/;
132695;REACTOR TOTAL;5,00;30/05/2021;/8-INSP=8-ENF/8-PRO-M/8-CUB/8-GAB/8-BUJ/;
133244;REACTOR TOTAL;5,00;30/05/2021;/5-INSP= 9-GAB/8-BUJ/;
133245;REACTOR TOTAL;5,00;30/05/2021;/5-INSP= 9-GAB/8-BUJ/;
133247;REACTOR TOTAL;5,00;30/05/2021;/9-OIL.CORR/ /8-INSP=8-ENF/8-PRO-M/8-CUB;/9-OIL.CORR/ /8-INSP=8-ENF/8-PRO-M/8-CUB/8-GAB/8-BUJ/
2010280;EQUIPO TOTAL;5,00;30/05/2021;/9-OIL.CORR/ /5-INSP= 8-GAB/8-BUJ/;
2010281;EQUIPO TOTAL;5,00;30/05/2021;/9-OIL.CORR/ /5-INSP= 8-GAB/8-BUJ/;
2010282;EQUIPO TOTAL;5,00;30/05/2021;/9-OIL.CORR/ /5-INSP= 8-GAB/8-BUJ/;
2010283;EQUIPO TOTAL;5,00;30/05/2021;/9-OIL.CORR/ /5-INSP= 8-GAB/8-BUJ/;
133243;REACTOR TOTAL;5,00;30/05/2021;/5-INSP= 9-GAB/8-BUJ/;
201114;EQUIPO TOTAL;3,00;29/05/2021;3-CONDICIÓN DIELÉCTRICA OLTC:DESVIACIÓN;3-CONDICIÓN DIELÉCTRICA OLTC:DESVIACIÓN ÚLTIMO RESULTADO RESPECTO A LA MEDIA. 3-INSPECCIONES OPERATIVAS: CONDICIÓN CUBA. /3-OIL.TAP= DELTA/ /3-INSP= 3-CUB/
200110;EQUIPO TOTAL;5,00;28/05/2021;;
203791;EQUIPO TOTAL;5,00;28/05/2021;;
200082;EQUIPO TOTAL;2,00;28/05/2021;2-INSPECCIONES OPERATIVAS: CONDICIÓN CUB;2-INSPECCIONES OPERATIVAS: CONDICIÓN CUBA. /2-INSP= 2-PRO-M/ 3-CUB/
203926;EQUIPO TOTAL;2,00;28/05/2021;2-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA;2-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA DE HUMEDAD. /2-OIL.TAP=DIAG
203928;EQUIPO TOTAL;5,00;28/05/2021;;
203930;EQUIPO TOTAL;2,00;28/05/2021;2-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA;2-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA DE HUMEDAD. /2-OIL.TAP=DIAG
203932;EQUIPO TOTAL;3,00;28/05/2021;3-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA;3-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA DE HUMEDAD. /3-OIL.TAP=DIAG
