,id,equipo,posicion_medida,valor_medido,fecha,texto_fallas,perfil_catalogo,recomendaciones
0,MjAwNjY4NjIzMDA1MjAyMQ==,2006686,EQUIPO TOTAL,2,30/05/2021,/2-OIL.TAP=DIAG,1-TRAAMO,No Recomendaciones
1,MjAwMDgyMjI4MDUyMDIx,200082,EQUIPO TOTAL,2,28/05/2021,/2-INSP=2-PRO-M/3-CUB/,1-TRAATR,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic'"
2,MjAzOTI2MjI4MDUyMDIx,203926,EQUIPO TOTAL,2,28/05/2021,/2-OIL.TAP=DIAG,1-TRAAMO,No Recomendaciones
3,MjAzOTMwMjI4MDUyMDIx,203930,EQUIPO TOTAL,2,28/05/2021,/2-OIL.TAP=DIAG,1-TRAAMO,No Recomendaciones
4,ODEwNTUxMjI4MDUyMDIx,810551,EQUIPO TOTAL,2,28/05/2021,/8-OIL.TAP//2-INSP=3-ENF/2-CUB/3-P.CUB/,1-TRAATR,"'corregir fuga aceite', 'corregir fuga aceite'"
5,MTExOTg4MjI3MDUyMDIx,111988,REACTOR TOTAL,2,27/05/2021,/2-INSP=2-PRO-M/9-GAB/8-BUJ/,1-REAAMO,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic'"
6,MjAwMDIzNjIyNzA1MjAyMQ==,2000236,REACTOR TOTAL,2,27/05/2021,/2-INSP=9-ENF/2-PRO-M/9-GAB/8-BUJ/,1-REAAMO,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic'"
7,MjAxMTY3NzIyNzA1MjAyMQ==,2011677,EQUIPO TOTAL,2,27/05/2021,/9-OIL.CORR//2-INSP=9-ENF/2-PRO-M/8-GAB/8-BUJ/,1-REAAMO,"'realizar analisis aceite', 'realizar analisis aceite'"
8,MjAxMTY4MTIyNzA1MjAyMQ==,2011681,EQUIPO TOTAL,2,27/05/2021,/9-OIL.CORR//2-INSP=9-ENF/2-PRO-M/3-CUB/8-GAB/8-BUJ/,1-REAAMO,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic'"
9,MTExMDczMjI3MDUyMDIx,111073,REACTOR TOTAL,2,27/05/2021,/2-INSP=3-ENF/2-CUB/9-GAB/8-BUJ/,1-REAAMO,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic'"
10,MTExOTg5MjI3MDUyMDIx,111989,REACTOR TOTAL,2,27/05/2021,/2-INSP=2-PRO-M/3-CUB/9-GAB/8-BUJ/,1-REAAMO,"'cambiar silica gel', 'cambiar silica gel'"
11,MTE2Njg4MjI3MDUyMDIx,116688,REACTOR TOTAL,2,27/05/2021,/2-INSP=2-CUB/9-GAB/8-BUJ/,1-REAAMO,"'montar borneras seccionables en pm', 'montar borneras seccionables en pm'"
12,MTMzMDM3MjI3MDUyMDIx,133037,REACTOR TOTAL,2,27/05/2021,/2-INSP=2-ENF/9-GAB/8-BUJ/,1-REAAMO,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic'"
13,MTE4NDI1MjI3MDUyMDIx,118425,REACTOR TOTAL,2,27/05/2021,/2-INSP=2-PRO-M/3-CUB/9-GAB/8-BUJ/,1-REAAMO,"'cambiar silica gel', 'cambiar silica gel'"
14,MTA5MzU4MjI3MDUyMDIx,109358,REACTOR TOTAL,2,27/05/2021,2-DGA=DP/(C)//2-HUM=DELTA//9-OIL.CORR//2-INSP=8-ENF/2-PRO-M/8-CUB/8-GAB/8-BUJ/,1-REAAMO,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic', 'ptbo'"
15,MTIwODY2MjI3MDUyMDIx,120866,REACTOR TOTAL,2,27/05/2021,/2-INSP=2-PRO-M/8-CUB/9-GAB/8-BUJ/,1-REAATR,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic'"
16,MTE5MDM5MjI2MDUyMDIx,119039,EQUIPO TOTAL,2,26/05/2021,/2-INSP=2-ENF/,1-TRAAMO,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic'"
17,ODA3ODMzMjI2MDUyMDIx,807833,EQUIPO TOTAL,2,26/05/2021,/2-OIL=DIEL.PF//9-OIL.TAP/,1-TRAATR,'adicionar irgamet39 a 100ppm'
18,ODEwNDUwMjI2MDUyMDIx,810450,EQUIPO TOTAL,2,26/05/2021,/2-INSP=9-ENF/2-M.OLTC/2-CUB/2-BUJ/3-P.CUB/,1-TRAAMO,"'diagnosticar alcance overhaul', 'diagnosticar alcance overhaul'"
19,ODEwNDUxMjI2MDUyMDIx,810451,EQUIPO TOTAL,2,26/05/2021,/2-INSP=9-ENF/3-CUB/2-BUJ/3-P.CUB/,1-TRAAMO,"'seguimiento generacion anormal de gases', 'seguimiento generacion anormal de gases'"
20,MjAxMDI0MDIyNTA1MjAyMQ==,2010240,EQUIPO TOTAL,2,25/05/2021,/9-OIL.CORR//2-INSP=2-PRO-M/8-GAB/8-BUJ/,1-REAAMO,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic'"
21,MTExNTY2MjI1MDUyMDIx,111566,REACTOR TOTAL,2,25/05/2021,/2-INSP=2-ENF/9-GAB/8-BUJ/,1-REAAMO,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic'"
22,ODA5MzY1MTIzMDUyMDIx,809365,EQUIPO TOTAL,1,23/05/2021,/1-OIL=DIEL.PF//9-OIL.TAP//2-INSP=2-M.OLTC/3-CUB/2-BUJ/,1-TRAATR,"'realizar analisis aceite', 'realizar analisis aceite', 'equipo cuestionado'"
23,ODA5MzcyMjIzMDUyMDIx,809372,EQUIPO TOTAL,2,23/05/2021,/9-OIL.TAP//2-INSP=2-M.OLTC/3-CUB/,1-TRAATR,"'realizar analisis aceite', 'realizar analisis aceite'"
24,ODA4Nzc5MjIxMDUyMDIx,808779,EQUIPO TOTAL,2,21/05/2021,/2-OIL=DIEL//9-OIL.TAP/,1-TRAATR,'adicionar irgamet39 a 100ppm'
25,MjAwNjAxNDIyMTA1MjAyMQ==,2006014,EQUIPO TOTAL,2,21/05/2021,7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC//2-INSP=2-M.OLTC/3-CUB/2-BUJ/,1-TRAATR,"'realizar analisis aceite', 'realizar analisis aceite'"
26,MjAxMDIyNTIxMDA1MjAyMQ==,2010225,EQUIPO TOTAL,2,10/05/2021,/2-INSP=9-ENF/2-PRO-M/9-CUB/9-BUJ/9-P.CUB/,1-TRAAMO,"'realizar pasivador irgamet 39', 'realizar pasivador irgamet 39'"
27,ODEwMDU3MjA3MDUyMDIx,810057,EQUIPO TOTAL,2,07/05/2021,2-DGA=T-ACE(D)/T-PAP(S)//9-OIL.TAP//2-INSP=2-M.OLTC/3-CUB/,1-TRAATR,"'seguimiento generacion anormal de gases', 'realizar analisis aceite', 'realizar analisis aceite'"
28,MjAwNzg2MjA3MDUyMDIx,200786,EQUIPO TOTAL,2,07/05/2021,2-DGA=T-ACE(D)/T-PAP(S)//3-OIL.TAP=DIAG//3-INSP=3-ENF/3-PRO-M/3-P.CUB/,1-TRAATR,"'seguimiento generacion anormal de gases', 'medir aislamiento protecciones mecanicas', 'medir aislamiento protecciones mecanicas'"
29,ODA5NTgyMjA3MDUyMDIx,809582,EQUIPO TOTAL,2,07/05/2021,7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC//8-OIL.TAP//2-INSP=9-ENF/2-PRO-M/3-CUB/3-P.CUB/,1-TRAATR,"'medir aislamiento protecciones mecanicas', 'medir aislamiento protecciones mecanicas'"
30,MjAwMDQwNzIwNTA1MjAyMQ==,2000407,EQUIPO TOTAL,2,05/05/2021,/8-OIL.TAP//2-INSP=2-ENF/,1-TRAATR,"'efectuar prueba de descargas parciales', 'efectuar prueba de descargas parciales'"
31,ODExMDA4MjAzMDUyMDIx,811008,EQUIPO TOTAL,2,03/05/2021,7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC//2-OIL.TAP=DIAG//5-INSP=8-P.CUB/,1-TRAAMO,No Recomendaciones
32,ODA5ODczMjAxMDUyMDIx,809873,EQUIPO TOTAL,2,01/05/2021,/9-OIL.TAP//2-INSP=3-ENF/2-CUB/,1-TRAATR,"'corregir fuga aceite', 'corregir fuga aceite'"
33,MjAwNTk3MjMwMDQyMDIx,200597,EQUIPO TOTAL,2,30/04/2021,/2-OIL=DIEL.PF//3-HUM_PAP=NO.EQ/WHRT//2-OIL.TAP=DIAG//2-INSP=2-PRO-M/,1-TRAATR,"'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic', 'aplicar sikaflex 1a protecciones mecanic', 'adicionar irgamet39 a 100ppm'"
34,MjAyNDk0MjI4MDQyMDIx,202494,EQUIPO TOTAL,2,28/04/2021,2-DGA=T-ACE(D)//9-OIL.TAP/,1-TRAATR,'seguimiento generacion anormal de gases'
35,MjAxNDQ3MjI4MDQyMDIx,201447,EQUIPO TOTAL,2,28/04/2021,/2-INSP=2-PRO-M/3-CUB/,1-TRAAMO,"'realizar analisis aceite', 'realizar analisis aceite'"
