|Sociedad CO|Equipo|Denominación|Perfil catálogo|Ubicac.técnica|Indicador ABC|Área de empresa|Pto.tbjo.resp.|Clase de aviso|Aviso|Descripción|Creado el|Inicio deseado|Fin deseado|Prioridad|Fecha de cierre|Status usuario|Status sistema|Autor del aviso|descripcion|descripcion2
0|ISA|202718|Autotrafo Monofásico 230/115 kV-B|N-AUTOTR|LHER230ATR-1-AUTOT||SUR|38B70001|N4|230230|Fijar tubo válvula aliv.presión, suelto|2011-02-16|2011-02-16|2011-06-16|5.0|2011-07-13|CPRO|MECE ORAS|NCALDERON|fijar tubo valvula aliv.presion, suelto|fijar tubo valvula aliv.presion, suelto
1|ISA|201232|Autotrafo Monofásico 230/115 kV-A|N-AUTOTR|TORC230ATR-2-AUTOT||CEN|38B80001|N4|230344|Cambiar silica|2011-02-18|2014-06-01|2014-07-30|2.0|2014-01-31|COPE|MECE ORAS|ISA3970|cambiar silica|cambiar silica
2|ISA|112136|Reactor línea monofásico 500 kV-C|N-REACTO|CERR500R12MC-REACT||NOR|38B60001|N2|231214|Corregir fuga aceite purg buchholz RL FC|2011-03-06|2011-07-01|2011-07-04|5.0|2011-07-19|INIC|MECE ORAS|NBALLESTEROS|corregir fuga aceite purg buchholz rl fc|fuga aceite
3|ISAB|301717|Autotrafo monofasico 230/69/24.9 kV - A|N-AUTOTR|SUCR230ATR-1-AUTOT||SUC|38F10001|N4|231474|Cambiar silicagel ATR R|2011-03-09|2011-04-06|2011-04-06|2.0|2011-04-29|INIC|MECE ORAS|SVEDIA|cambiar silicagel atr r|cambiar silica
4|ISA|200597|Autotrafo Trifásico 230/115 kV|N-AUTOTR|ESME230ATR-2-AUTOT||SUR|38B70001|N4|232227|CAMBIAR SILICA GEL  ATR2|2011-03-24|2011-04-20|2011-04-20|2.0|2011-05-06|INIC|MECE ORAS|ERAMOS|cambiar silica gel  atr2|cambiar silica
5|ISA|400039|Autotrafo Trifásico 230/115 kV|N-AUTOTR|LVIR230ATR-1-AUTOT||SUR|38B70001|N4|232252|Cambiar empaques y silica ATR 1 Dispac|2011-03-25|2011-03-25|2011-03-25|2.0|2011-03-31|INIC|MECE ORAS|SCORREA|cambiar empaques y silica atr 1 dispac|cambiar empaques y silica atr 1 dispac
6|ISA|202718|Autotrafo Monofásico 230/115 kV-B|N-AUTOTR|LHER230ATR-1-AUTOT||SUR|38B70001|N2|232338|Corregir fuga de aceite válvulaMuestreo|2011-03-28|2012-02-11|2012-02-12|5.0|2012-03-01|INIC COND|MECE ORAS|NCALDERON|corregir fuga de aceite valvulamuestreo|fuga aceite
7|ISA|111566|Reactor línea monofásico 500 kV-A|N-REACTO|CHIN500R12MC-REACT||NOR|38B60001|N2|234186|Corregir fuga de aceite en Relé Buchollz|2011-04-19|2011-07-03|2011-07-03|3.0|2011-07-07|INIC COND|MECE ORAS|OGTATIS|corregir fuga de aceite en rele buchollz|fuga aceite
8|ISA|111566|Reactor línea monofásico 500 kV-A|N-REACTO|CHIN500R12MC-REACT||NOR|38B60001|N4|234184|Cambiar sílica gel por saturación > 75%|2011-04-19|2011-05-17|2011-06-26|2.0|2011-05-31|INIC COND|MECE ORAS|OGTATIS|cambiar silica gel por saturacion > 75%|cambiar silica
9|ISA|111689|Reactor línea monofásico 500 kV-A|N-REACTO|CHIN500R22MC-REACT||NOR|38B60001|N4|234154|Cambiar sílica gel por saturación > 75%|2011-04-19|2011-05-17|2011-05-26|2.0|2011-05-31|INIC COND|MECE ORAS|OGTATIS|cambiar silica gel por saturacion > 75%|cambiar silica
10|ISA|111690|Reactor línea monofásico 500 kV-C|N-REACTO|CHIN500R22MC-REACT||NOR|38B60001|N4|234159|Cambiar sílica gel por saturación > 75%|2011-04-19|2011-05-17|2011-05-26|2.0|2011-05-31|INIC COND|MECE ORAS|OGTATIS|cambiar silica gel por saturacion > 75%|cambiar silica
11|ISA|111691|Reactor línea monofásico 500 kV-B|N-REACTO|CHIN500R22MC-REACT||NOR|38B60001|N4|234157|Cambiar sílica gel por saturación > 75%|2011-04-19|2011-05-17|2011-05-27|2.0|2011-05-31|INIC COND|MECE ORAS|OGTATIS|cambiar silica gel por saturacion > 75%|cambiar silica
12|ISA|111989|Reactor línea monofásico 500 kV-C|N-REACTO|CHIN500R23MC-REACT||NOR|38B60001|N4|234177|Cambiar sílica gel por saturación > 75%|2011-04-19|2011-05-17|2011-05-27|2.0|2011-05-31|INIC COND|MECE ORAS|OGTATIS|cambiar silica gel por saturacion > 75%|cambiar silica
13|ISA|201438|Autotrafo Monofásico 500/110 kV-C|N-AUTOTR|CHIN500ATR-1-AUTOT||NOR|38B60001|N4|234195|Cambiar sílica gel por saturación > 75%|2011-04-19|2011-05-17|2011-05-27|2.0|2011-05-31|INIC COND|MECE ORAS|OGTATIS|cambiar silica gel por saturacion > 75%|cambiar silica
14|ISA|202718|Autotrafo Monofásico 230/115 kV-B|N-AUTOTR|LHER230ATR-1-AUTOT||SUR|38B70001|N4|235800|Hacer tratamie o cambiar parrillasfosos|2011-05-11|2011-09-15|2013-12-30|4.0|2012-03-06|INIC COND|MECE ORAS|NCALDERON|hacer tratamie o cambiar parrillasfosos|hacer tratamie o cambiar parrillasfosos
15|ISA|200203|Transformador Trifásico 230/34.5 kV|N-AUTOTR|SAMO230TRF-1-TRAFO||ORI|38B90001|N4|239938|Cambiar Silica gel TRF-1 y OLTC Samoré|2011-06-20|2011-06-24|2011-06-24|2.0|2011-07-01|INIC COND|MECE ORAS|MPPENUELA|cambiar silica gel trf-1 y oltc samore|cambiar silica
16|ISA|111966|Reactor línea monofásico 500 kV-C|N-REACTO|CHIN500R11MC-REACT||NOR|38B60001|N4|249960|Conectar disparo rele alivio de presión|2011-09-12|2011-09-03|2011-09-03||2011-09-29|INIC|MECE ORAS|EAFERNANDEZ|conectar disparo rele alivio de presion|cambiar rele
17|ISA|203670|Reactor barra trifásico 230 kV-RV|N-REACTO|JAMO230R28MC-REACT||SUR|38B70001|N4|250755|Cambiar Reactor|2011-09-15|2011-11-28|2011-12-15|5.0|2011-12-21|INIC|MECE ORAS|YRESTREPO|cambiar reactor|cambiar reactor
18|ISA|123184|Reactor de neutro 33 kV|N-REACTO|LVIR500R22RN-REACT||SUR|38B70001|N4|251503|Cambiar valvula alivio presion|2011-09-23|2014-11-12|2014-11-13|4.0|2014-11-19|CPRO COND ENPT|MECE ORAS|BLOPEZ|cambiar valvula alivio presion|alivio presion
19|ISA|201585|Autotrafo Monofásico 500/110 kV-A|N-AUTOTR|CERR500ATR-1-AUTOT||NOR|38B60001|N4|253373|Revisar indicador flujo bomba ATR1|2011-10-07|2011-11-01|2011-11-01|2.0|2011-11-04|INIC COND|MECE ORAS|CACASTRO|revisar indicador flujo bomba atr1|revisar indicador flujo bomba atr1
20|ISA|201114|Autotrafo Monofásico 230/115 kV-A|N-AUTOTR|LREF230ATR-1-AUTOT||CEN|38B80001|N4|254283|Asegurar tubo de purga rele Bouchholz|2011-10-21|2012-09-15|2012-09-16|3.0|2012-10-08|COPE COND|MECE ORAS|OGRAJALES|asegurar tubo de purga rele bouchholz|asegurar tubo de purga rele bouchholz
21|ISA|132503|Reactor línea monofásico 500 kV-B|N-REACTO|PRIM500R16MC-REACT||ORI|38B90001|N4|255305|Cambiar silica RL Bacata fase A|2011-10-30|2012-07-14|2012-07-14|2.0|2012-07-31|INIC COND|MECE ORAS|DADIAZ|cambiar silica rl bacata fase a|cambiar silica
22|TRAN|808997|Valledupar 2 100 MVA 220/110 kV|N-AUTOTR|VAL_220TRA02||VAL|38C20001|N2|255926|CAMBIAR GUARDAMOTOR CAMBIADOR DE TOMAS|2011-11-04|2011-11-11|2011-12-11|2.0|2011-12-31|INIC COND|MECE ORAS|JOSORIO|cambiar guardamotor cambiador de tomas|cambiar guardamotor cambiador de tomas
23|ISA|118423|Reactor línea monofásico 500 kV-C|N-REACTO|SABA500R22MC-REACT||NOR|38C10001|N4|256199|Cambiar termometro temperaura de ace|2011-11-09|2012-07-06|2012-07-08|3.0|2012-08-02|INIC COND|MECE ORAS|AFERNANDEZ|cambiar termometro temperaura de ace|cambiar termometro
24|ISA|117272|Reactor línea monofásico 500 kV-RV|N-REACTO|SABA500R21MC-REACT||NOR|38C10001|N4|256371|Cambiar termometro temperaura de ace|2011-11-11|2012-09-22|2012-09-23|4.0|2012-10-09|INIC COND|MECE ORAS|AFERNANDEZ|cambiar termometro temperaura de ace|cambiar termometro
25|ISA|117272|Reactor línea monofásico 500 kV-RV|N-REACTO|SABA500R21MC-REACT||NOR|38C10001|N4|256375|Cambiar termometro temperatura de dev|2011-11-11|2012-09-22|2012-09-23|4.0|2012-10-10|INIC COND|MECE ORAS|AFERNANDEZ|cambiar termometro temperatura de dev|cambiar termometro
26|ISA|117273|Reactor línea monofásico 500 kV-B|N-REACTO|SABA500R21MC-REACT||NOR|38C10001|N4|256376|Cambiar termometro temperaura de ace|2011-11-11|2012-09-22|2012-09-23|4.0|2012-10-10|INIC COND|MECE ORAS|AFERNANDEZ|cambiar termometro temperaura de ace|cambiar termometro
27|ISA|117273|Reactor línea monofásico 500 kV-B|N-REACTO|SABA500R21MC-REACT||NOR|38C10001|N4|256377|Cambiar termometro temperatura de dev|2011-11-11|2012-09-22|2012-09-23|4.0|2012-10-10|INIC COND|MECE ORAS|AFERNANDEZ|cambiar termometro temperatura de dev|cambiar termometro
28|ISA|117274|Reactor línea monofásico 500 kV-A|N-REACTO|SABA500R21MC-REACT||NOR|38C10001|N4|256379|Cambiar termometro temperaura de ace|2011-11-11|2012-09-22|2012-09-23|4.0|2012-10-10|INIC COND|MECE ORAS|AFERNANDEZ|cambiar termometro temperaura de ace|cambiar termometro
29|ISA|117274|Reactor línea monofásico 500 kV-A|N-REACTO|SABA500R21MC-REACT||NOR|38C10001|N4|256380|Cambiar termometro temperatura de dev|2011-11-11|2012-09-22|2012-09-23|4.0|2012-10-10|INIC COND|MECE ORAS|AFERNANDEZ|cambiar termometro temperatura de dev|cambiar termometro
30|ISA|118423|Reactor línea monofásico 500 kV-C|N-REACTO|SABA500R22MC-REACT||NOR|38C10001|N4|256385|Cambiar termometro temperatura de dev|2011-11-11|2013-05-22|2013-05-26|4.0|2013-06-08|INIC COND|MECE ORAS PÁG.|AFERNANDEZ|cambiar termometro temperatura de dev|cambiar termometro
31|ISA|118424|Reactor línea monofásico 500 kV-B|N-REACTO|SABA500R22MC-REACT||NOR|38C10001|N4|256387|Cambiar termometro temperaura de ace|2011-11-11|2012-07-06|2012-07-08|4.0|2012-08-02|INIC COND|MECE ORAS|AFERNANDEZ|cambiar termometro temperaura de ace|cambiar termometro
