real;predicho;Equipo;;;;;;;;;;;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
revisar/cambiar motoventilador;revisar/cambiar motoventilador;810451;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;otro;810451;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;810451;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;202718;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;202719;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;0
otro;realizar muestreo-analisis fsco-qco oltc;111690;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;808069;2;0;2;0;0;9;0;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0
otro;hacer seguimiento generacion anormal de gases;111689;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;111690;2;0;2;0;0;0;2;2;0;0;8;5;0;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;809578;3;0;3;0;3;9;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;202718;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;111691;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;3;0;0;0;0;0;0
revisar/cambiar motoventilador;aplicar sikaflex 1a protecciones mecanic;809578;0;0;0;0;0;9;0;2;2;0;0;5;0;0;0;8;0;0;0;0;0;0
otro;otro;201438;2;0;2;0;0;0;0;0;0;0;0;5;0;0;0;9;0;0;0;0;0;0
otro;otro;202719;2;0;2;0;0;0;0;0;0;0;0;3;0;0;0;9;0;0;0;0;0;0
otro;otro;203342;2;2;2;0;0;0;0;0;0;0;8;3;0;0;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;808069;2;0;2;0;0;0;0;0;0;0;0;5;0;0;0;8;0;6;0;6;0;0
revisar/cambiar motoventilador;otro;118423;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;0;9;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;111689;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;0;0;0;0;0;0;0
otro;otro;809578;0;0;0;0;0;9;0;2;2;0;1;3;0;0;0;3;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;116137;3;0;3;0;0;0;0;0;0;0;2;3;0;0;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;116144;3;0;3;0;0;1;0;1;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;111691;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;1;1;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;116137;3;0;3;0;0;0;0;0;0;0;2;3;0;0;3;9;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;111690;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;0;0;0
revisar/cambiar motoventilador;otro;119234;0;0;0;0;0;9;0;9;0;0;0;2;2;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;116144;3;0;3;0;0;1;0;1;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;111690;2;0;2;0;0;0;2;2;0;0;8;5;0;0;0;0;9;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;111690;2;0;2;0;0;0;2;2;0;0;8;2;2;0;0;0;9;0;0;0;0;0
revisar/cambiar motoventilador;otro;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;809578;0;0;0;0;0;9;0;2;2;0;0;3;3;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;111689;0;0;0;0;0;0;0;0;0;0;8;2;2;2;0;0;9;0;0;0;0;0
revisar/cambiar motoventilador;otro;111691;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;201438;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;201438;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;revisar/cambiar motoventilador;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
otro;otro;119234;3;0;3;0;0;9;0;9;0;0;0;2;2;9;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;119234;3;0;3;0;0;9;0;9;0;0;0;2;2;9;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;118423;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;810449;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;119234;0;0;0;0;0;9;0;9;0;0;0;2;2;9;0;0;0;0;0;0;0;0
otro;otro;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
revisar/cambiar motoventilador;cambiar silica oltc;118423;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;201120;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
revisar/cambiar motoventilador;realizar muestreo-analisis fsco-qco oltc;116137;3;0;3;0;0;0;0;0;0;0;2;3;0;0;3;9;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;810449;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;9;0;0;0;0;0;0
otro;realizar secado oltc;202719;2;0;2;0;0;0;0;0;0;0;0;3;0;0;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;otro;201438;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;6;0;6;0;0
revisar/cambiar motoventilador;revisar/cambiar motoventilador;808069;3;0;3;0;0;0;0;0;0;0;2;2;0;2;0;3;0;6;0;6;0;0
revisar/cambiar motoventilador;revisar/cambiar motoventilador;2000407;2;0;2;0;0;8;0;8;0;0;0;5;9;0;0;8;0;0;0;0;0;0
otro;otro;116144;0;0;0;0;0;1;0;1;0;0;0;3;3;0;3;8;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;118423;0;0;0;0;0;0;0;0;0;0;8;2;0;2;0;0;9;0;0;0;0;0
otro;hacer seguimiento generacion anormal de gases;202719;2;0;2;0;0;0;0;0;0;0;0;3;0;0;0;9;0;0;0;0;0;0
revisar/cambiar motoventilador;revisar/cambiar motoventilador;111691;2;0;2;0;0;0;0;0;0;0;8;5;0;0;0;0;9;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;809578;0;0;0;0;0;9;0;2;2;0;0;3;3;0;0;0;0;0;0;0;0;0
otro;cambiar silica oltc;809578;0;0;0;0;0;9;0;2;2;0;0;3;3;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;809578;0;0;0;0;0;9;0;2;2;0;0;5;0;0;0;8;8;0;0;0;0;0
otro;otro;809578;0;0;0;0;0;9;0;2;2;0;1;3;0;0;0;3;0;0;0;0;0;0
otro;otro;810057;2;2;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;810057;2;2;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;810057;2;2;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;810057;2;2;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;300390;2;0;2;0;0;0;0;0;0;0;8;3;3;0;0;8;9;0;0;0;0;0
hacer seguimiento generacion anormal de gases;otro;810057;2;2;0;0;2;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;810057;2;2;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;810057;1;1;0;1;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;otro;810057;2;0;0;0;2;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;809872;3;0;0;0;3;9;0;9;0;0;1;5;0;0;0;8;0;3;0;3;0;0
hacer seguimiento generacion anormal de gases;otro;810057;2;0;2;0;2;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar muestreo-analisis fsco-qco oltc;810057;2;0;2;0;2;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;revisar/cambiar motoventilador;810057;2;0;2;0;2;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;cambiar silica oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;aplicar sikaflex 1a protecciones mecanic;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;aplicar sikaflex 1a protecciones mecanic;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;otro;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
otro;cambiar silica oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar muestreo-analisis fsco-qco oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar muestreo-analisis fsco-qco oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar muestreo-analisis fsco-qco oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;revisar/cambiar motoventilador;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
hacer seguimiento generacion anormal de gases;realizar secado oltc;810057;1;1;0;1;0;9;0;9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
